id,serp_topic_annotation,query,qid,feedback,interface_type,query_feedback_time,query_selection_time,topic_id,user,ndcg_10,total_cards_shown,num_queries_explored
1732,497, boats ships ilegally pirate,6,4,BASE_GOOGLE,2.2910099029541016,0.996920108795166,367,958,0.2385024498843459,28,6
1731,497, pirates,2,2,BASE_GOOGLE,2.845165014266968,4.656033992767334,367,958,0.6377031804231299,28,6
1730,497, pirates board ship,1,1,BASE_GOOGLE,1.954278945922852,2.640043973922729,367,958,0.5040935371655748,28,6
1729,497, instances of piracy,3,2,BASE_GOOGLE,4.949291944503784,1.570831060409546,367,958,0.1794770986900752,28,6
1728,497, somali pirates,4,2,BASE_GOOGLE,2.7713828086853027,2.20339298248291,367,958,0.6205601922318716,28,6
1727,497, piracy ship boarded,5,4,BASE_GOOGLE,2.421462059020996,1.9503490924835205,367,958,0.5996986609463215,28,6
1726,494, typhoon property damage,3,5,BASE_GOOGLE,3.772149085998535,4.927626132965088,408,958,0.6726933800270176,28,5
1725,494, tropical storm hit,2,3,BASE_GOOGLE,4.138479948043823,2.0542898178100586,408,958,0.5541431912151693,28,5
1724,493, airport security procedures,5,1,BASE_TIS,3.017841100692749,1.659060001373291,341,940,0.4382999807415574,28,5
1723,496, deadly storm,5,5,BASE_GOOGLE,3.9459171295166016,1.9806249141693115,408,928,0.492006202774515,28,1
1722,494, deadly storm,5,4,BASE_GOOGLE,4.613653898239136,5.564418077468872,408,958,0.492006202774515,28,5
1721,493, airports use security measures luggage,3,1,BASE_TIS,2.661275148391724,2.576406955718994,341,940,0.6470962195065267,28,5
1720,495, deadly storm,5,5,BASE_TIS,4.405105113983154,11.941147089004517,408,957,0.492006202774515,28,2
1719,495, hurricane damage,6,5,BASE_TIS,6.5839011669158936,10.951252937316896,408,957,0.828299649216492,28,2
1718,493, airport security mesasures,6,2,BASE_TIS,5.000797986984253,3.286712169647217,341,940,0.4923908681256006,28,5
1717,494, hurricane damage,6,2,BASE_GOOGLE,6.203691005706787,14.409974813461304,408,958,0.828299649216492,28,5
1716,444, airports use security measures luggage,3,6,BASE_GOOGLE,2.4011390209198,5.7188050746917725,341,928,0.6470962195065267,28,4
1715,493, carry on luggage airport,2,2,BASE_TIS,5.885725021362305,1.6817469596862793,341,940,0.3911296106359335,28,5
1714,494, fatal storm,1,4,BASE_GOOGLE,4.871891975402832,11.451170921325684,408,958,0.3436966791443692,28,5
