id,serp_topic_annotation,distracting,liked_engine,felt_productive,overall_satisfaction,mentally_taxing,interface_type,interface_feedback_time,topic_id,user
155,218,2,3,5,4,2,BASE_GOOGLE,29.511159896850582,367,805
154,207,1,5,5,5,2,RAND,16.218412160873413,408,794
153,205,2,4,5,5,2,BASE_WAPO,23.970333099365234,341,792
152,200,2,4,6,5,2,BASE,11.003573179244995,363,787
151,194,6,4,4,3,6,BASE_GOOGLE,23.5909321308136,363,760
150,195,1,6,6,6,3,BASE_WAPO,28.146165132522583,341,775
148,159,1,6,6,6,1,BASE_WAPO,31.3113751411438,408,775
147,193,1,5,4,6,4,BASE_WAPO,30.04695606231689,408,780
146,191,2,4,3,2,4,BASE_GOOGLE,23.304988861083984,363,781
145,190,3,5,5,5,3,BASE_GOOGLE,25.872387886047363,363,783
144,189,4,4,3,4,4,BASE,27.932440996170044,367,771
143,181,2,4,4,4,2,RAND,22.004482984542847,363,767
142,140,2,4,3,3,5,BASE_GOOGLE,43.97855305671692,408,760
141,176,4,3,2,3,3,BASE_WAPO,40.6769859790802,363,780
138,177,2,5,5,5,4,BASE_GOOGLE,30.611499071121216,341,781
137,182,5,3,4,4,5,BASE_GOOGLE,31.634762048721317,367,783
136,184,3,4,4,4,3,BASE_GOOGLE,9.352309942245483,367,763
135,186,2,5,5,5,2,BASE_GOOGLE,26.3802809715271,408,774
134,188,3,4,4,5,4,BASE_GOOGLE,15.261818885803224,341,777
133,185,2,5,5,4,2,BASE_TIS,12.64358901977539,408,768
132,187,2,5,6,6,2,RAND,8.223460912704468,363,782
131,152,5,3,3,3,4,BASE,32.715770959854126,363,771
129,173,3,5,5,4,3,BASE_GOOGLE,23.7354838848114,363,777
127,180,2,6,6,6,1,RAND,9.17847990989685,408,782
126,158,3,4,5,5,2,BASE_GOOGLE,38.21496796607971,341,774
125,169,2,4,5,4,2,BASE_GOOGLE,12.218662977218628,367,769
124,148,6,1,1,2,6,BASE_TIS,14.540848970413208,367,768
123,172,4,2,1,1,5,BASE_TIS,11.785698890686035,367,764
122,143,3,4,4,4,3,BASE_GOOGLE,14.334634065628052,341,763
120,147,2,4,4,4,3,RAND,31.40465402603149,367,767
119,171,4,3,2,2,4,BASE_TIS,13.421895027160645,408,770
116,165,1,5,5,5,1,BASE_TIS,16.7288920879364,367,765
115,144,4,1,1,1,5,BASE_TIS,22.652539014816284,341,764
114,154,4,3,2,2,4,BASE_WAPO,12.055052995681764,341,756
